gene,log2FC_Er,pval_Er,log2FC_Fe,pval_Fe,padj_Er,padj_Fe,Significance,neg_log10_padj
ABCC11,-0.011662502884546878,0.7162062789739849,-0.03522929574437442,0.29336523780447415,0.8116818825714626,0.5296791904682954,Not Significant,0.09061414774615428
ABCC2,-0.14623140166258985,0.17273766178690164,-0.05729231051975505,0.5665633898878242,0.3077204877134928,0.753288230772659,Not Significant,0.5118435879101292
ABCC3,0.09998648200374302,0.3011947447817498,0.3463206985032078,0.007822686444816832,0.43293851975655884,0.2714932354377606,Not Significant,0.3635737720674479
ABCC4,0.1054128528924208,0.46314654392534527,-0.04251314858484852,0.7627245929345697,0.5925813423151147,0.8950633804965944,Not Significant,0.2272520265939893
ABCC5,0.14255077876477779,0.2869277949397403,0.11039209811977006,0.4003968295887236,0.41782982056579404,0.6224299120129971,Not Significant,0.3790005675988728
ABCC6,-0.4085723843679525,0.23415214138518387,0.31916522362900357,0.3413649514697653,0.38813147235227596,0.5728874724151437,Not Significant,0.41102114026757935
ABCC6P1,0.010983823359997669,0.6220321598702936,0.02608638777869049,0.2634360759140375,0.7330069954241692,0.5026401889255694,Not Significant,0.1348918806663504
ABCC6P2,-0.3441540316167495,0.1875518631927269,-0.25661530198311033,0.30996043956049946,0.3270334826471032,0.5445894754622032,Not Significant,0.485407780720573
ABCC9,-0.7070339598927992,0.0002882498005685486,-0.29935202362393765,0.019074336695376046,0.0028405651144389837,0.31231311396833367,Downregulated,2.546595250915002
ABCD1,-0.1537700376759491,0.30207832402948975,0.4632007097554429,0.014490199388578281,0.433921421424205,0.3061408905100695,Not Significant,0.36258890950045625
ABCD2,-0.00625219757633988,0.6160411707650573,-0.006377656138137417,0.6091390895711937,0.7282616803681801,0.7851965570693589,Not Significant,0.1377125411269795
ABCD3,-0.06110293757704215,0.7742776389657277,-0.46448910263354504,0.06273513395418523,0.8582157035441802,0.3302634042914751,Not Significant,0.06640354305411843
ABCD4,0.28167647617185254,0.055954145906506055,0.017040509289714144,0.890946925706371,0.13053735107004244,0.9830144664091041,Not Significant,0.884265204473931
ABCE1,-0.5062337037119127,0.049452058002282806,-0.5699984256645847,0.03266940767900066,0.12033553052574025,0.32454990869255734,Not Significant,0.9196061230093532
ABCF2,-0.5189520023846892,0.000901118427632137,0.12578898229230157,0.19110414540140186,0.00618673274827019,0.4579188810941491,Downregulated,2.2085386440346917
ABCF3,-0.07838932216864743,0.41319726772649074,0.2881865889168777,0.017873560313611002,0.5471999150472461,0.31231311396833367,Not Significant,0.2618539787121271
ABCG1,0.011677785996934404,0.9491621983626769,0.0026809981294692283,0.9883191081136316,0.9889220903204868,0.9999999999999998,Not Significant,0.004837921827183973
ABCG2,0.15748049672727046,0.13536018917685008,-0.1528182045757112,0.14524502355656474,0.2561284771409671,0.4098826469920225,Not Significant,0.5915421326692869
ABCG4,0.08741444713028285,0.12681595237734705,-0.0010561254524435342,0.9836159053634381,0.24361556233396464,0.9999999999999998,Not Significant,0.6132949721151534
ABHD1,-0.04882859666294136,0.26855747384137174,0.02403839475626615,0.5703556486363508,0.39843577194668145,0.756839906993172,Not Significant,0.3996416771217548
ABHD10,0.15544285856353923,0.29122995894461173,-0.15770929868776373,0.284908011968013,0.4223099935857408,0.5209925553784202,Not Significant,0.37436864126562447
ABHD11,-0.30409152416119595,0.06888812124851791,0.25978636572298763,0.10760673163007255,0.1529267796620212,0.370957942289071,Not Significant,0.8155164567651071
ABHD11-AS1,3.1396424406562275e-17,0.9999999999999998,0.15448815787276649,0.266569703380069,0.9999999999999998,0.5026401889255694,Not Significant,9.643274665532873e-17
ABHD12,0.32168224816427243,0.043459194035463895,0.33519594548438403,0.037640304970906965,0.10899062922098378,0.3248847789841273,Not Significant,0.962610840156293
ABHD12B,-0.11691366587945978,0.1624254639991491,-0.09071312003207149,0.2628373277193515,0.29387295840779865,0.5026401889255694,Not Significant,0.5318403749841704
ABHD13,0.3940740656348386,0.06374101041418904,-0.21087992919225323,0.27025605050920815,0.1442314834189679,0.5065569956767183,Not Significant,0.8409399297503336
ABHD14A,0.0894776564272851,0.6318816697480817,0.36449954595630674,0.08561759571930092,0.7412208658089029,0.3474492187995952,Not Significant,0.1300523635326911
