Name,B_cells,CD8_T_cells,Macrophages,NK_cells,T_cells,Risk_Group
TCGA-2Y-A9HA,0.10778195760099443,0.17578111939345648,0.259619005277444,0.2746962515227789,0.28937079252467757,Low_Immune
TCGA-2Y-A9HB,0.32867581146247293,0.4003424122641649,0.2820013524061149,0.31137318509615225,0.3989360625364119,High_Immune
TCGA-3K-AAZ8,0.32762165726857895,0.3539784152468996,0.02405572291143403,0.31101354335295955,0.3764924880415806,High_Immune
TCGA-4R-AA8I,0.17378819414503224,0.2265897811330391,0.039643199354190604,0.309687507392119,0.28469666158316803,Low_Immune
TCGA-5C-A9VG,0.21932385386607606,0.27210247265342374,0.29418797915281525,0.24810811700244742,0.32098525950234996,Low_Immune
TCGA-5C-A9VH,0.16969211863214678,0.29474540980629366,0.20273399141874615,0.2744914716134795,0.3398944888509803,Low_Immune
TCGA-5C-AAPD,0.4326260404483377,0.40428273886482763,0.30821645052625424,0.2994485114455321,0.4275521021431922,High_Immune
TCGA-5R-AA1C,0.20314689946609202,0.35746775891334615,0.03868835753102499,0.30602264629017845,0.3392117206960523,High_Immune
TCGA-5R-AA1D,0.30018145359849974,0.3285457992551226,0.08039324291369664,0.30913262104001793,0.3631454024102858,High_Immune
TCGA-5R-AAAM,0.31685741957011554,0.34058906397477023,0.3623876235274634,0.330532202268382,0.36286253857076417,High_Immune
TCGA-BC-4072,0.31243954482553615,0.39117857761187846,0.27770117241019565,0.383053158816155,0.40796384890252946,High_Immune
TCGA-BC-4073,0.36458314700825517,0.42118492952718173,0.3179732347547738,0.3249123226012163,0.4265788405904201,High_Immune
TCGA-BC-A10Q,0.15574962953479846,0.3190226974178331,0.3024340379051305,0.3809349582773444,0.3243749833964433,Low_Immune
TCGA-BC-A10Q,0.27593348387106925,0.300527259732449,0.2885006169367917,0.36965542594967493,0.3176208112896877,Low_Immune
TCGA-BC-A10R,0.17373901105822542,0.26867923194481097,0.04449390262187342,0.2627526779484088,0.3056741646764214,Low_Immune
TCGA-BC-A10R,0.28729931038792145,0.3518119145847974,0.39680476888936395,0.37618472582203866,0.3557653607803376,High_Immune
TCGA-BC-A10S,0.32191070326623733,0.3415306840051148,0.09757217002151092,0.32797654523766734,0.37206800584501853,High_Immune
TCGA-BC-A10T,0.2433904994837807,0.3273454259749684,0.27522464663564195,0.3103246144344105,0.32384017498611206,High_Immune
TCGA-BC-A10T,0.32967942314064763,0.32012985798644406,0.06170972300675778,0.3848929703159464,0.3473707989334036,Low_Immune
TCGA-BC-A10U,0.03878762115297443,0.2640737283313414,0.32716554570070133,0.2972292373846882,0.3457834510495045,Low_Immune
TCGA-BC-A10U,0.3087604785099888,0.3312334832873567,0.3460816874239209,0.37453168622937444,0.3175042187429752,High_Immune
TCGA-BC-A10W,0.1739860971408861,0.335421308487931,0.26162659455652504,0.2510959663046652,0.33676914143763614,High_Immune
TCGA-BC-A10W,0.3122423904510997,0.3882840735653407,0.359644935588867,0.38144262625889414,0.37593191798834874,High_Immune
TCGA-BC-A10X,0.2980409934015319,0.3534459675211077,0.33937697539069683,0.37990761176905413,0.3469626405924837,High_Immune
TCGA-BC-A10X,0.26796301809464146,0.32811511296354695,0.29261340669165803,0.38580732951480906,0.3334031629823246,High_Immune
TCGA-BC-A10Y,0.23920248673512648,0.34459686001510803,0.23318168584302662,0.3089239580177378,0.33668111752951196,High_Immune
TCGA-BC-A10Y,0.3122335115289929,0.34331330372144425,0.309056665403626,0.39379337171928974,0.35500214335467156,High_Immune
TCGA-BC-A10Z,-0.07760250423933832,0.19375401138827908,-0.008681455198422547,0.2449475072259349,0.2736683994110864,Low_Immune
TCGA-BC-A10Z,0.3049312899596965,0.3526040078544339,0.30672662884358765,0.36853073862282215,0.33796977239309395,High_Immune
TCGA-BC-A110,0.33577032583915917,0.36589007014533315,0.10249143974892445,0.374428722822896,0.37713747531200914,High_Immune
TCGA-BC-A110,0.27431833948719897,0.34222784942078904,0.3841786934520754,0.35524340084715567,0.31746364391559756,High_Immune
TCGA-BC-A112,0.16070436159529367,0.24260613383881244,0.22880739359264848,0.369183499986841,0.3079448807692151,Low_Immune
TCGA-BC-A216,0.23872516657204715,0.45473152745145035,0.0010816457251325213,0.3343564556051708,0.4114175678348253,High_Immune
