gene,log2FC_Er,pval_Er,log2FC_Fe,pval_Fe,padj_Er,padj_Fe
AHNAK,-0.6672779758303786,0.0004658916319732363,-0.017068503727647916,0.86613820731692,0.003930423408113695,0.9666626685273656
AHSA1,-0.5443888669127825,0.00010801585693242416,0.016212836788944036,0.7985454169761095,0.0015115608441423397,0.9183473136627919
AIF1L,-0.5842011862182843,0.015800594760346672,0.0832845448279334,0.6517358027260229,0.0503471913182475,0.8173395820429544
AIM1,-2.009773830048315,5.18002174173171e-06,-0.4934472648689713,0.009803967323949982,0.0002661455371614881,0.2894834028081242
AIM1L,-0.8573103472728498,2.8753385440559434e-05,-0.23405906152050027,0.02153080270227095,0.0006707900761579491,0.31258914563455403
AIM2,-1.4393925298652428,0.0004741270922028336,-0.672829525558589,0.018494208149065213,0.003981535590628938,0.31231311396833367
AIMP2,-0.5180023421882372,0.0001506794270605947,0.15250914455327405,0.04743020140525267,0.0018646324228269804,0.3248847789841273
AK6,0.7485669890030289,0.010921081030699805,-0.25146726973401395,0.26803906614424905,0.03823534542546556,0.5041535763829083
AKAP2,-0.583697103083224,0.00016620791639675536,-0.2981171033526111,0.005456721988339906,0.0019910634699387003,0.25969657899849485
AKAP3,0.5626654087876013,0.00020605668642771928,-0.02881007778604511,0.6969542469221067,0.0022703474667246904,0.8492309979021905
AKR1B1,-1.2628869191004022,1.0517031516674147e-05,0.09658483582586361,0.34369132161485355,0.00038000632224590705,0.5743401490814456
AKR1B10,-0.8442440639265694,0.002275913328040514,0.19703810760213025,0.28099009930948704,0.012079644448595763,0.5175016530430487
AKR1B15,-0.6837786661509448,0.007464844847095562,-0.15587961425950497,0.4016153441083117,0.028715981209534804,0.6235077365029302
AKR1C1,-1.9732141855296876,6.398715607742072e-08,-0.20617589296059968,0.015902464104213625,3.285599088458764e-05,0.3096511062163426
AKR1C2,-2.044486831311209,1.0144328257879598e-07,-0.1561471652908356,0.06545454827965258,4.2087106611296775e-05,0.3329463874886652
AKR1C3,-1.6104160106122747,6.963685181922081e-08,-0.04051131948910993,0.4599948521196817,3.285599088458764e-05,0.6662421480257348
AKT1S1,-0.8560793015784909,0.0005662537862512344,0.18727111111606254,0.19696650770239107,0.004462206699928944,0.46429996852245786
AKT2,-0.5316163563548174,0.004333105988722199,0.16301258121730178,0.22143741396241268,0.0192500627966308,0.4917545290641729
AKTIP,0.9917086023894974,2.27957516238235e-05,-0.3151192031052727,0.009649477437992885,0.000586405481293575,0.2889501070114235
ALDH1B1,-0.875609051592968,5.955177321111178e-05,0.09258832978007424,0.3331946081675099,0.001043296869761719,0.5654754925659976
ALDH1L2,1.8133559596961148,2.8139285065756874e-05,-0.10351487749338356,0.5413257006098456,0.0006632313451709964,0.7337199960445456
