Gene,log2FC,pvalue,padj,plot_color
PHTF2,0.8732067959613434,3.225007964485659e-10,3.104331311194728e-09,grey
CCL26,1.567784934809684,5.688868725786261e-08,3.9903350633729345e-07,re
FARP2,-0.0659809494777812,0.6301188526452852,0.7250649266290891,grey
USH1C,-0.4683605305513173,0.4151012376723191,0.5527143793807809,grey
GGCT,1.0380121077404594,1.4350373856129386e-18,4.413365249380968e-17,re
DBF4,1.2838707217600482,5.1311557494054114e-17,1.2531605077429782e-15,re
TBXA2R,-1.6431466737289646,4.120634094768222e-23,2.294591757012699e-21,b
IFRD1,1.000722765024316,1.1094024763720669e-13,1.7162304336533907e-12,re
LGALS14,0.640827054696347,0.014692210047245201,0.03686843741898552,grey
COX10,0.19879595804389358,0.08613616542126223,0.16631372522608304,grey
GTF2IRD1,1.4401097627294017,7.310375335714553e-18,2.011600113699426e-16,re
PAF1,0.4006477243627563,2.390439731688218e-06,1.305000284731463e-05,grey
VPS41,0.5212498117784872,1.8092655535275933e-05,8.521870160154785e-05,grey
ARHGAP44,0.3110147597466405,0.25298908349253146,0.38639184670525206,grey
ELAC2,0.15683893936920046,0.10122464475190653,0.1889470930881455,grey
SCIN,1.263491299430827,3.504513059401725e-05,0.00015732416115369564,re
ARSD,-0.6432773078368007,1.7906646482089095e-05,8.439889763031391e-05,grey
PNPLA4,-0.2957235707393089,0.012309008151259529,0.031565760574339206,grey
MYH13,0.9244244826506378,0.00023761689887622943,0.000912599523537362,grey
ADIPOR2,-0.25198614442111356,0.04391487318023487,0.09469385603459719,grey
CDKL3,1.2106073879342736,5.097286692516739e-20,1.891053174066739e-18,re
UPP2,-1.1965385093068468,0.005861616518452188,0.01652436791150525,b
PRSS21,-0.031220676281030774,0.9199996677813811,0.9411625118754804,grey
MARK4,1.3158025627395267,5.955508898360351e-29,7.170102557482244e-27,re
PROM1,-3.4372825333139496,6.844566982217164e-13,9.435509635031547e-12,b
CCDC124,0.9484532846525546,7.485543373323756e-18,2.0577955529441376e-16,grey
CEACAM21,-0.539909816785462,0.01045264697473925,0.027384063073755478,grey
PAFAH1B1,0.06200135252400446,0.5410655862273576,0.659064331220862,grey
NOS2,1.5803500663747634,5.312209658109455e-11,5.688825212811183e-10,re
DNAH9,-0.21256228877004396,0.3333238924363532,0.4748973957009155,grey
KIAA0100,1.456453985292759,1.600500122900092e-26,1.39678886305338e-24,re
SLC13A2,-0.7535205233973828,0.06597817195550182,0.133380741092958,grey
GAS7,0.3490028213040152,0.1247040715118534,0.22355119048564362,grey
TRAPPC6A,0.4907466264392272,0.00010129387205500767,0.0004173919930435901,grey
MATK,-0.05409734388373925,0.7529067741455859,0.809753738064618,grey
CEACAM7,0.16763086663564133,0.667753009411924,0.758529480356752,grey
CD79B,0.3042796648992158,0.07091761377339759,0.141612019015981,grey
SCN4A,2.151428696430623,1.0536595911819544e-21,4.864667932631975e-20,re
ST7L,0.5979292126006717,3.911235829041493e-09,3.233024902456857e-08,grey
TKTL1,0.05734381859063766,0.8657241674067735,0.8993959744792244,grey
PAX6,1.3911127173889897,1.2290477653424262e-05,5.9564142193854694e-05,re
RPUSD1,1.0732981627566536,1.8978547992185877e-20,7.46256067116139e-19,re
RHBDF1,1.0645810835799323,9.514080199880446e-11,9.851687850472205e-10,re
LUC7L,0.8998500471774356,1.37881789059433e-13,2.1036193513215033e-12,grey
CACNA2D2,0.32746367029909695,0.09360733545344134,0.17800020867443136,grey
BAIAP3,-0.11485029392250265,0.5382725710994531,0.6566043925582886,grey
TSR3,0.7337044061653065,8.615772185787927e-13,1.16950844311031e-11,grey
PIGQ,0.2258213558813624,0.045020369681300645,0.09670097284139686,grey
CRAMP1,1.4263706136430476,1.3450811257829722e-24,9.052444072388024e-23,re
TEAD3,1.0111679990278017,3.717319310630123e-15,7.001282017169109e-14,re
SELE,-1.777400722425283,5.939691507194469e-09,4.7871064937729906e-08,b
DNAJC11,0.09723503689506352,0.5680250311651001,0.6833752372424549,grey
FMO3,-1.598594622476331,7.522711626253692e-07,4.435776023145517e-06,b
MYLIP,0.6168517396138199,0.00034485441646783224,0.0012825849443983764,grey
NOX1,0.9404128861121988,3.0820020206264125e-09,2.5854292689744522e-08,grey
E2F2,3.142691908450414,1.5789217224390934e-33,3.389878899525605e-31,re
PSMB1,0.31579459151879236,0.0023537513277572357,0.007311286649896156,grey
SYN1,-0.9051305900136271,0.0008444603705558902,0.0029002162169842675,grey
JARID2,0.7843877911479141,5.7598361671792326e-09,4.650627816586594e-08,grey
CDKL5,0.5483637755877433,0.0019896395019230063,0.00628468306534362,grey
CAMK1G,0.2818089813588871,0.28172621304814327,0.4194839570635359,grey
CDK11A,0.632913047063271,1.906505624643354e-06,1.0558144379706452e-05,grey
NADK,-0.14969424319061242,0.21266868098048594,0.34087478913259733,grey
TFAP2B,0.22999211955246102,0.13968794989643873,0.24485394377743186,grey
TFAP2D,0.03028791266051442,0.500125691957862,0.6288042127900397,grey
DLEC1,-0.2841517666842937,0.10124490327086429,0.18897866064557706,grey
CYTH3,1.0190189055901064,9.535543317813747e-10,8.625832320415784e-09,re
ADAM22,1.2149982231314351,2.3351858246521534e-05,0.00010784906558889566,re
SYPL1,0.648894507075932,1.1611463602027459e-08,8.988775600335625e-08,grey
CYB561,0.6063023207760696,0.009712815757757128,0.025645739619441485,grey
SPAG9,0.015834211237356677,0.9027151440704593,0.9282284815970441,grey
CELSR3,3.408487212227525,1.3269321466175527e-36,3.943432824145269e-34,re
AASS,-1.3659966975028284,1.769661095306185e-06,9.853457622173723e-06,b
PLEKHG6,0.44157387364817496,0.08069006774142552,0.15757097267921813,grey
SS18L2,0.47838884718434804,1.233655230797993e-07,8.199922614126977e-07,grey
MPND,0.47797367067553675,1.7329198088619936e-05,8.191654835277728e-05,grey
MGST1,-0.8129972520891631,0.00019390434296935596,0.0007571266666042931,grey
CRY1,0.14848323501916122,0.32191988258633775,0.4639527851715858,grey
PGLYRP1,-1.1998824235251588,1.2490039552093173e-14,2.1773698157114572e-13,b
NFIX,0.37607741955069685,0.015413278463845713,0.038431103438181055,grey
ST3GAL1,-0.3250454396802648,0.08422226715912683,0.16334444992581218,grey
MMP25,0.006383271490749337,0.9734835142333647,0.9810938767234894,grey
IL32,0.989368454267303,5.0605106590429555e-06,2.6231684050570135e-05,grey
PKD1,0.9452070815378497,1.4308306188310489e-05,6.851993121219165e-05,grey
MAPK8IP2,2.8091793495605093,1.6724311721059486e-17,4.3658726829848536e-16,re
MED24,0.9547470764036634,6.496390031965373e-16,1.3525761915742064e-14,grey
RHOBTB2,1.1855714933567447,3.5494245964259647e-13,5.115320567564883e-12,re
HEATR5B,0.32731033230700696,0.015878107849108435,0.03944205532972187,grey
SEC62,-0.48329557627276454,6.794563706347189e-07,4.0342275465709155e-06,grey
RPS20,0.8970756916328951,5.9936093148726456e-12,7.251535246717033e-11,grey
CSDE1,0.23818710196597734,0.029868800021914246,0.06816054502378001,grey
UBE3C,0.45265447248059953,0.0008050434980615541,0.0027783620266515277,grey
REV3L,-0.001781030058582228,0.9910664484638516,0.9931595323982426,grey
TENM1,-2.0441646971323966,4.702304652696837e-06,2.4493862127913412e-05,b
PAX7,0.08488046125515464,0.43590369885359126,0.5712333446845532,grey
MASP2,-1.2042011489065765,0.00040091325004656616,0.001471213795013931,b
IYD,-2.1422336021145165,1.542503132909009e-10,1.5508803311913673e-09,b
FAM76A,0.3263165600469043,0.0013766704502012458,0.004521241026616259,grey
TRAF3IP3,0.16183768598480522,0.42878876372232066,0.5638725032274637,grey
POMT2,1.008664400004959,1.0310248124683113e-15,2.091872656702235e-14,re
VTA1,0.004036824675940648,0.9721262409164836,0.9799708673584568,grey
MLXIPL,0.3618925524841912,0.05596999080130874,0.11616354960655362,grey
BAZ1B,0.5755796813503684,1.751301938013586e-06,9.758932589552663e-06,grey
RANBP9,0.33030402207868126,0.020983096016896293,0.05020809037181326,grey
ETV7,0.3107270195079032,0.22005526890201105,0.3497556932542942,grey
SPRTN,0.8546821028080712,5.217540605380058e-14,8.412576535773414e-13,grey
EEF1AKNMT,0.9473055841885727,2.2434302361915673e-16,4.977418007330328e-15,grey
DYRK4,0.26102824163446786,0.0222207159684888,0.05280693296130977,grey
ZNF207,0.9542231261907373,6.5001180887699155e-19,2.083025924417669e-17,grey
UQCRC1,0.17925058626391527,0.05651035130332211,0.11706989236652784,grey
STARD3NL,0.5665973793121044,6.348367761357793e-05,0.00027149934533444504,grey
CD9,0.15805791047638398,0.3724536960770942,0.5139191131663439,grey
HHATL,0.5895734291092377,0.013370924571049323,0.03397332744923278,grey
NCAPD2,1.7192657947170065,1.8322804275418597e-21,8.140024731797884e-20,re
IFFO1,1.0356058165968356,1.3300640330088821e-20,5.333953524420918e-19,re
GIPR,0.8108382401173594,0.005106290186984281,0.014615099118413799,grey
PHF7,0.420251165766657,0.000787591611931258,0.002725127787713615,grey
SEMA3G,1.4768176431800424,2.2007082515456477e-13,3.2683585329701473e-12,re
NISCH,0.9370924212049684,2.883824164460769e-21,1.2439658628439827e-19,grey
STAB1,-0.8170223735268918,7.79415476552244e-07,4.5838657310199414e-06,grey
FUZ,-0.34281011719562565,0.07033109397185029,0.1406547149224526,grey
SLC6A13,-1.417651928804777,1.3413171270349994e-06,7.5980609528522515e-06,b
IDS,-0.1865572788008364,0.30738186629646036,0.4471203328463505,grey
PRSS3,-1.0684462174928633,0.04387780433596643,0.094621151154535,grey
