,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
20,prerank,Reactome_2022__Phase II - Conjugation Of Compounds R-HSA-156580,-0.6416005084829467,-2.146908447446444,0.001,0.001,0.003,45/106,7.29%,CYP1A2;GLYAT;NNMT;UGT1A4;GLYATL1;UGT2B7;GGT6;ACSM5;GSTA2;GSTM5;UGT2B10;UGT3A1;GSTM1;UGT2B17;SULT1E1;UGT2A1;GSTZ1;UGT1A1;GLYATL3;MAT1A;GGT5;SULT2A1;SULT1B1;ACSM2A;UGT1A3;UGT1A9;GSTA1;UGT2B15;SULT1A1;ACSM2B;SLC35D1;UGP2;GSTT2B;UGT2A3;PRNP;MGST1;PAPSS2;COMT;SULT1C4;SLC38A3;SULT1A2;TPST1;ABHD14B;TPMT;UGT2B4
21,prerank,KEGG_2021_Human__Tyrosine metabolism,-0.748381495482622,-2.127532289945169,0.001,0.001,0.001,22/36,6.99%,ADH4;DBH;ADH1C;TAT;TH;ADH1B;ADH1A;HPD;AOX1;GSTZ1;ADH6;GOT1;ADH7;GOT2;FAH;DDC;MAOB;COMT;HGD;MAOA;AOC3;DCT
22,prerank,KEGG_2021_Human__Fatty acid degradation,-0.7379856519270181,-2.126754540056908,0.001,0.001,0.001,30/43,8.63%,ADH4;ADH1C;ADH1B;ACADL;ADH1A;ACSL1;ADH6;ACADSB;ALDH2;ACADS;ACAA2;EHHADH;ACAA1;ALDH1B1;ACAT1;GCDH;ACADM;ECHS1;ADH7;CPT2;ACSL5;ACOX1;ALDH9A1;HADH;CYP2U1;ACAT2;ACADVL;ALDH7A1;HADHB;CPT1A
23,prerank,MSigDB_Hallmark_2020__E2F Targets,0.7647601611816822,2.1218631020824423,0.001,0.001,0.001,126/200,11.50%,CDC20;MELK;BIRC5;TOP2A;MYBL2;DEPDC1;CDKN2A;KIF18B;CDKN3;KIF4A;CCNB2;KIF2C;E2F8;DLGAP5;CDK1;PTTG1;BUB1B;MKI67;SPC24;CENPM;PLK1;UBE2T;CDCA3;HMMR;AURKB;RRM2;DIAPH3;SPC25;TRIP13;CDCA8;CENPE;ASF1B;CCNE1;MXD3;ORC6;TCF19;AURKA;GINS1;RACGAP1;EZH2;HELLS;TK1;RAD51AP1;CDKN2C;MCM2;MAD2L1;CHEK1;DSCC1;PLK4;STMN1;CDC25A;TACC3;UBE2S;ESPL1;MCM6;HMGA1;MCM4;ATAD2;MCM3;KPNA2;POLA2;PSMC3IP;DDX39A;MCM5;GINS3;GINS4;NCAPD2;MCM7;MSH2;H2AX;CKS2;BRCA2;HMGB2;POLD1;PRIM2;SPAG5;CKS1B;NME1;LIG1;MMS22L;KIF22;JPT1;BARD1;TUBG1;DNMT1;H2AZ1;SNRPB;LMNB1;PCNA;TFRC;SMC4;CHEK2;RFC3;DONSON;ILF3;SUV39H1;CDC25B;NOP56;BRCA1;DCLRE1B;PRKDC;DUT;TIPIN;TIMELESS;NUP107;WDR90;RAD51C;CSE1L;LUC7L3;DCTPP1;DCK;RAD21;NUP205;RAD1;CDK4;EED;RNASEH2A;SLBP;RBBP7;NAP1L1;TUBB;PA2G4;CIT;RAN;XPO1;POLD3
24,prerank,KEGG_2021_Human__Propanoate metabolism,-0.7543337579010905,-2.1140224118738487,0.001,0.001,0.001,21/34,7.87%,ALDH6A1;ABAT;ACADS;EHHADH;BCKDHB;ACAT1;MMUT;ACACB;MLYCD;ECHS1;DBT;SUCLG2;ACOX1;PCCA;ACSS3;HIBCH;ACAT2;ECHDC1;MCEE;PCCB;LDHA
25,prerank,"KEGG_2021_Human__Valine, leucine and isoleucine degradation",-0.7229456829850688,-2.109459249724167,0.001,0.001,0.001,34/48,8.79%,HMGCLL1;AGXT2;AOX1;ALDH6A1;ABAT;ACADSB;ALDH2;ACADS;ACAA2;EHHADH;HMGCS2;BCKDHB;ACAA1;ALDH1B1;ACAT1;ACADM;MMUT;HMGCL;IVD;ECHS1;DBT;PCCA;HIBADH;ALDH9A1;HIBCH;HADH;ACAT2;MCEE;MCCC1;MCCC2;PCCB;ALDH7A1;HADHB;HSD17B10
26,prerank,Reactome_2022__Arachidonic Acid Metabolism R-HSA-2142753,-0.6780026782254405,-2.089909870401039,0.001,0.0019362757809933786,0.009,31/59,7.71%,CYP1A2;CYP2C8;CYP2C19;CYP8B1;CYP1A1;HPGD;CYP4A11;CYP4A22;CYP2C9;PTGIS;PTGS2;CYP4F2;PON1;GGT5;PON3;EPHX2;CYP2J2;PLA2G4A;CYP4F3;PTGR1;DPEP3;FAAH2;PTGS1;TBXAS1;DPEP2;FA2H;CYP2U1;CYP4F22;CYP4F11;ALOX5AP;GGT1
27,prerank,KEGG_2021_Human__Steroid hormone biosynthesis,-0.66490292905574,-2.0841774395994177,0.001,0.001,0.001,29/61,5.27%,CYP1A2;CYP3A4;CYP2E1;SRD5A2;AKR1D1;CYP1A1;UGT1A4;HSD11B1;UGT2B7;UGT2B10;UGT2B17;SULT1E1;UGT2A1;UGT1A1;HSD17B6;UGT1A3;UGT1A9;UGT2B15;SRD5A1;CYP3A7;HSD17B2;CYP3A7-CYP3A51P;HSD3B1;AKR1C4;CYP7B1;UGT2A3;HSD3B2;CYP11A1;COMT
28,prerank,Reactome_2022__Interleukin-10 Signaling R-HSA-6783783,-0.7053492849014229,-2.0823841318805534,0.001,0.0019016994277613539,0.01,30/44,9.28%,PTGS2;CCL19;FPR1;CXCL2;IL1RN;IL1B;IL10;IL6;CCL2;CCL4;CSF3;CCR1;CXCL1;CCL3;CXCL8;IL1R1;TNF;CCL22;IL10RA;FCER2;CCL5;CD86;TNFRSF1B;TNFRSF1A;STAT3;CCR2;LIF;ICAM1;PTAFR;IL18
29,prerank,KEGG_2021_Human__Mineral absorption,-0.6841630262697452,-2.0746200011676588,0.001,0.001,0.001,22/60,5.03%,MT1H;MT1G;MT1M;MT1F;SLC5A1;MT1E;SLC6A19;MT1X;MT2A;TRPV6;SLC34A2;MT1A;SLC34A1;MT1HL1;HMOX1;MT1B;SLC8A1;TF;ATP1B2;CYBRD1;SLC31A1;SLC30A1
